日期,成交股數,開盤價,最高價,最低價,收盤價,MA10,MA50
2021-01-04,6307525.0,122.2,124.5,122.0,124.35,120.13500000000002,113.98599999999999
2021-01-05,4962514.0,124.2,124.65,123.75,124.6,120.66,114.35600000000001
2021-01-06,10859755.0,126.1,127.15,124.1,125.95,121.455,114.765
2021-01-07,6863448.0,126.55,129.0,126.55,128.9,122.53000000000002,115.243
2021-01-08,13298515.0,130.6,131.25,129.55,131.2,123.76999999999998,115.79
2021-01-11,10492804.0,131.2,132.3,130.5,132.3,125.10500000000002,116.37599999999999
2021-01-12,11223083.0,132.3,133.15,131.6,132.1,126.31500000000001,116.95
2021-01-13,10912897.0,132.75,135.45,132.7,135.3,127.85499999999999,117.564
2021-01-14,12390589.0,135.0,135.05,133.35,134.05,129.1,118.12200000000001
2021-01-15,21933080.0,137.15,138.0,134.4,134.5,130.325,118.691
2021-01-18,14495824.0,134.6,134.95,132.1,134.4,131.32999999999998,119.245
2021-01-19,12262208.0,135.2,138.1,135.2,137.95,132.66500000000002,119.84199999999998
2021-01-20,30367315.0,138.1,139.5,137.65,138.2,133.89000000000001,120.46400000000001
2021-01-21,14029981.0,138.4,143.25,138.35,143.0,135.3,121.14900000000002
2021-01-22,24714046.0,138.2,139.0,135.0,137.45,135.925,121.72200000000001
2021-01-25,14258565.0,137.2,137.3,134.2,135.6,136.255,122.249
2021-01-26,15080041.0,135.55,136.6,131.8,132.85,136.32999999999998,122.65
2021-01-27,8124071.0,133.3,134.4,132.25,133.05,136.105,123.039
2021-01-28,15242813.0,130.0,131.3,129.4,130.35,135.735,123.359
2021-01-29,14709917.0,131.6,131.85,128.2,128.2,135.105,123.63999999999999
2021-02-01,14510389.0,128.2,130.95,127.55,130.75,134.73999999999998,123.97499999999998
2021-02-02,11194661.0,132.5,135.05,132.5,134.45,134.39,124.355
2021-02-03,7317436.0,135.45,135.5,134.2,134.35,134.00499999999997,124.744
2021-02-04,6783557.0,133.4,134.55,132.35,133.55,133.06,125.13600000000001
2021-02-05,9116600.0,134.8,136.3,134.2,134.8,132.79500000000002,125.535
2021-02-17,19308197.0,139.0,140.85,139.0,140.55,133.29,126.05300000000001
2021-02-18,10805214.0,140.55,141.25,139.6,140.35,134.04000000000002,126.594
2021-02-19,9327689.0,139.55,139.55,137.6,138.85,134.62,127.085
2021-02-22,7156162.0,139.8,140.75,138.75,138.8,135.46499999999997,127.55300000000001
2021-02-23,8026444.0,137.15,138.7,136.45,138.5,136.495,128.015
2021-02-24,11227133.0,137.0,138.2,136.25,136.45,137.065,128.398
2021-02-25,10368420.0,137.85,138.15,136.7,137.55,137.375,128.781
2021-02-26,27725975.0,134.65,135.2,133.3,133.4,137.28000000000003,129.048
2021-03-02,7501387.0,135.5,135.65,133.45,133.45,137.27,129.31599999999997
2021-03-03,8596895.0,133.75,135.4,132.7,135.4,137.32999999999998,129.65200000000002
2021-03-04,17641322.0,134.35,134.35,131.7,132.75,136.55,129.93200000000002
2021-03-05,14721332.0,130.05,132.6,129.5,131.95,135.70999999999998,130.20600000000002
2021-03-08,12425275.0,133.75,133.8,131.5,131.85,135.01,130.50199999999998
2021-03-09,13755992.0,130.55,131.6,129.75,131.35,134.26500000000001,130.744
2021-03-10,5608897.0,132.3,132.6,131.4,131.9,133.605,131.01
2021-03-11,9343919.0,132.05,134.95,132.05,134.7,133.43,131.34
2021-03-12,5700896.0,135.25,135.65,134.5,135.25,133.2,131.65800000000002
2021-03-15,3852212.0,135.25,135.25,134.45,134.9,133.35,131.996
2021-03-16,6868571.0,135.45,135.65,134.75,135.35,133.54,132.34
2021-03-17,6923261.0,135.35,135.4,134.0,134.2,133.42000000000002,132.648
2021-03-18,7050890.0,135.1,136.05,134.8,134.9,133.635,132.96699999999998
2021-03-19,10691849.0,133.45,133.5,132.3,132.8,133.72,133.22299999999998
2021-03-22,5510347.0,132.4,133.6,131.6,133.4,133.875,133.493
2021-03-23,6994160.0,133.9,134.7,133.6,133.6,134.1,133.733
2021-03-24,11082813.0,131.8,132.45,131.3,131.5,134.06,133.918
2021-03-25,5186148.0,131.1,132.55,130.6,131.95,133.785,134.07
2021-03-26,8134654.0,133.05,134.4,132.55,134.35,133.695,134.265
2021-03-29,8323344.0,135.2,135.9,135.05,135.45,133.75,134.455
2021-03-30,4937584.0,135.8,135.95,135.2,135.9,133.805,134.595
2021-03-31,7829355.0,135.8,135.8,134.6,134.75,133.85999999999999,134.666
2021-04-01,7419804.0,135.7,136.05,135.2,135.75,133.945,134.735
2021-04-06,9539511.0,138.3,138.3,137.25,137.65,134.43,134.846
2021-04-07,4477900.0,137.7,137.95,137.15,137.8,134.87,134.89600000000002
2021-04-08,6467189.0,137.35,138.25,136.65,138.25,135.33499999999998,134.98
