ら戳,Θユ计,秨絃基,程蔼基,程基,Μ絃基,MA10,MA50
2020/1/2,33282120,332.5,339,332.5,339,333.85,315.35
2020/1/3,42023268,344,345,335.5,339.5,334.3,316.28
2020/1/6,45677057,333,334.5,332,332,334.6,317.05
2020/1/7,51746181,332.5,333,326.5,329.5,334.15,317.75
2020/1/8,37913748,325,333,325,329.5,333.9,318.37
2020/1/9,32397504,335,337.5,333.5,337.5,334.35,319.13
2020/1/10,27880115,340.5,341,336,339.5,335,319.95
2020/1/13,30663332,342,342,339,341.5,335.35,320.8
2020/1/14,30368993,345.5,346,344.5,346,336.5,321.58
2020/1/15,54575274,345,345,337.5,340,337.4,322.17
2020/1/16,58217420,330,336.5,330,334.5,336.95,322.64
2020/1/17,53908097,334,335.5,332,333,336.3,323.12
2020/1/20,35551203,334,335.5,333,333,336.4,323.67
2020/1/30,126820049,326,326,316.5,316.5,335.1,323.98
2020/1/31,62912055,323,323.5,319,320,334.15,324.28
2020/2/3,59711849,315,316.5,312,315,331.9,324.5
2020/2/4,52208496,319,326,318,325,330.45,324.93
2020/2/5,36601453,329,329.5,324.5,327.5,329.05,325.34
2020/2/6,29659094,329.5,332.5,329,332.5,327.7,325.77
2020/2/7,30055327,330,330.5,326,328,326.5,326.03
2020/2/10,30814424,321.5,328,321,327.5,325.8,326.31
2020/2/11,29062935,330.5,332.5,330,331.5,325.65,326.72
2020/2/12,37612639,333.5,336,333,335,325.85,327.24
2020/2/13,23217021,338,338,335,335,327.7,327.8
2020/2/14,18326683,337,337,334.5,335,329.2,328.36
2020/2/17,16145079,331.5,333,330.5,331.5,330.85,328.77
2020/2/18,64662604,324.5,326.5,322,322,330.55,329.02
2020/2/19,48856218,322.5,327,322,326.5,330.45,329.45
2020/2/20,27061736,328,329,325,325.5,329.75,329.81
2020/2/21,22974534,325.5,326.5,323,325,329.45,330.17
2020/2/24,42946680,319.5,321.5,319.5,320,328.7,330.45
2020/2/25,38674011,320,323.5,317.5,322,327.75,330.65
2020/2/26,60768362,317,320.5,316.5,318.5,326.1,330.76
2020/2/27,62401927,319,320,315,316,324.2,330.76
2020/3/2,86372942,308,317,308,311,321.8,330.71
2020/3/3,55169411,318.5,320,316,317.5,320.4,330.68
2020/3/4,44745146,322,322,317,320.5,320.25,330.46
2020/3/5,38223525,325,326,323,323,319.9,330.14
2020/3/6,52807760,320,320.5,315,315,318.85,329.72
2020/3/9,88633277,307.5,310,305.5,305.5,316.9,328.93
2020/3/10,74869130,301.5,309,301,307,315.6,328.18
2020/3/11,64923710,309,310.5,302,302,313.6,327.52
2020/3/12,114173351,299,299,287,294,311.15,326.82
2020/3/13,151268148,275,294,272.5,290,308.55,325.94
2020/3/16,103933228,285,291,275.5,276.5,305.1,324.83
2020/3/17,122409651,265,276.5,265,268,300.15,323.53
2020/3/18,118620643,269.5,272.5,260,260,294.1,322.07
2020/3/19,160811697,252,253,235.5,248,286.6,320.27
2020/3/20,159179726,258.5,270,256,270,282.1,318.98
2020/3/23,76963709,257,262.5,252,255,277.05,317.46
2020/3/24,82377933,268,274,266,267.5,273.1,316.03
2020/3/25,80514199,276.5,280,274,277,270.6,314.78
2020/3/26,54189633,279.5,280,275.5,280,269.2,313.74
2020/3/27,69320306,284,286,273,273,267.5,312.61
2020/3/30,53403956,263.5,269,262.5,267.5,266.6,311.37
2020/3/31,53901923,273,274,269.5,274,267.2,310.1
2020/4/1,47572034,276.5,276.5,271.5,271.5,268.35,308.74
2020/4/6,59712754,273,275.5,270,275.5,271.1,307.42
2020/4/7,48887346,283.5,284,280.5,283,272.4,306.16
2020/4/8,38698826,285,285.5,283,285,275.4,305.06
2020/4/9,29276430,287.5,288,282.5,283,276.95,304.03
2020/4/10,28206858,280,282,279,279.5,277.2,302.96
2020/4/13,22196596,278.5,281.5,278.5,278.5,277.05,301.87
2020/4/14,50196688,281,285.5,280,285,278.25,301.24
2020/4/15,58561434,287,288.5,286,287.5,280.25,300.59
2020/4/16,48257280,283,288.5,283,286.5,281.5,300.02
