date,analysis
2021-01-10,0.0
2021-01-14,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-09,0.0
2021-02-18,0.0
2021-03-02,1.0
2021-03-03,1.0
2021-03-07,1.0
2021-03-16,0.0
2021-03-17,1.0
2021-03-18,1.0
2021-03-19,1.0
2021-03-20,1.0
2021-03-22,1.0
2021-03-27,0.0
2021-04-05,-1.0
2021-04-08,0.0
2021-04-09,1.0
2021-04-16,1.0
2021-04-29,1.0
2021-05-06,1.0
2021-05-07,1.0
2021-05-10,1.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-17,1.0
2021-05-18,1.0
2021-05-19,1.0
2021-05-24,0.0
2021-06-09,0.0
2021-06-17,-1.0
2021-07-03,-1.0
2021-07-09,0.0
2021-07-16,-1.0
2021-07-23,0.0
2021-07-26,-1.0
2021-08-09,-1.0
2021-08-11,-1.0
2021-08-13,-1.0
2021-08-20,-1.0
2021-09-02,-1.0
2021-09-07,-1.0
2021-09-12,-1.0
2021-09-22,0.0
2021-09-27,0.0
2021-10-08,1.0
2021-11-10,0.0
2021-11-11,-1.0
2021-12-09,1.0
2022-01-10,1.0
2022-01-17,-1.0
2022-02-10,0.0
2022-02-21,0.0
2022-02-23,-1.0
2022-02-25,0.0
2022-02-28,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-14,0.0
2022-03-16,0.0
2022-03-17,-1.0
2022-03-18,-1.0
2022-03-24,1.0
2022-04-01,-1.0
2022-04-08,0.0
2022-04-09,-1.0
2022-04-12,-1.0
2022-05-02,-1.0
2022-05-09,-1.0
2022-05-11,-1.0
2022-05-18,-1.0
2022-05-23,-1.0
2022-06-09,-1.0
2022-06-21,-1.0
2022-07-08,1.0
2022-07-18,0.0
2022-08-04,0.0
2022-08-09,0.0
2022-08-11,-1.0
2022-08-12,-1.0
2022-08-13,-1.0
2022-08-14,-1.0
2022-08-15,-1.0
2022-09-08,0.0
2022-09-19,0.0
2022-10-04,-1.0
2022-10-07,-1.0
2022-11-09,1.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-22,-1.0
2022-12-09,-1.0
2022-12-22,0.0
2023-01-06,0.0
2023-01-09,0.0
2023-02-10,0.0
2023-03-09,0.0
2023-03-10,-1.0
2023-03-13,-1.0
2023-03-15,-1.0
2023-04-04,0.0
2023-04-10,-1.0
2023-05-12,-1.0
2023-05-15,-1.0
2023-05-18,1.0
2023-05-20,0.0
2023-06-14,-1.0
2023-07-08,0.0
2023-07-11,1.0
2023-07-28,1.0
2023-07-30,1.0
2023-07-31,1.0
2023-08-09,0.0
2023-08-11,1.0
2023-09-08,0.0
2023-11-13,1.0
2023-11-15,1.0
2023-11-16,1.0
