日期,開盤指數,最高指數,最低指數,收盤指數
2021-01-04,14720.25,14937.13,14720.25,14902.03
2021-01-05,14913.64,15000.03,14861.99,15000.03
2021-01-06,15145.85,15197.68,14837.0,14983.13
2021-01-07,15059.52,15270.4,15049.86,15214.0
2021-01-08,15365.13,15463.95,15275.38,15463.95
2021-01-11,15425.58,15557.3,15395.73,15557.3
2021-01-12,15549.53,15642.03,15421.23,15500.7
2021-01-13,15550.16,15778.52,15550.16,15769.98
2021-01-14,15651.2,15760.15,15620.96,15707.19
2021-01-15,15987.16,16041.59,15615.11,15616.39
2021-01-18,15676.45,15676.45,15320.97,15612.0
2021-01-19,15716.64,15928.14,15716.64,15877.37
2021-01-20,15934.85,16004.32,15745.48,15806.18
2021-01-21,15775.73,16238.46,15775.73,16153.77
2021-01-22,15984.89,16138.04,15973.02,16019.03
2021-01-25,16006.21,16014.96,15772.63,15946.54
2021-02-01,15176.56,15429.98,15089.96,15410.09
2021-02-02,15546.69,15838.15,15546.69,15760.05
2021-02-03,15828.64,15896.4,15741.16,15771.32
2021-02-04,15697.75,15801.37,15606.74,15706.22
2021-02-05,15805.76,15938.09,15774.34,15802.4
2021-02-17,16197.45,16406.78,16197.45,16362.29
2021-02-18,16366.23,16517.73,16323.22,16424.51
2021-02-19,16376.91,16382.7,16211.25,16341.38
2021-02-22,16445.87,16579.17,16410.16,16410.16
2021-03-02,16127.87,16262.91,15946.88,15946.88
2021-03-03,15992.32,16211.73,15884.55,16211.73
2021-03-04,16091.75,16091.75,15840.99,15906.41
2021-03-05,15759.58,15934.43,15636.43,15855.23
2021-03-08,15943.37,16074.97,15816.5,15820.11
2021-03-09,15715.07,15864.26,15657.92,15853.09
2021-03-10,15921.45,15986.07,15857.32,15911.67
2021-03-11,15947.21,16216.22,15947.21,16179.56
2021-03-12,16241.55,16298.03,16166.35,16255.18
2021-03-15,16256.58,16281.91,16194.91,16249.33
2021-03-16,16253.93,16340.66,16244.99,16313.16
