date,analysis
2021-01-03,-0.13
2021-01-04,2.0
2021-01-07,0.4
2021-01-08,0.6
2021-01-12,2.4
2021-01-14,-0.014
2021-01-15,-0.05
2021-01-18,0.45
2021-01-19,0.4
2021-01-20,-0.05
2021-01-21,0.2
2021-01-22,0.1
2021-01-23,-0.92
2021-01-25,-0.5
2021-01-27,0.95
2021-01-30,-0.45
2021-01-31,-0.4
2021-02-01,-0.47
2021-02-02,2.1
2021-02-03,-0.55
2021-02-05,-0.4
2021-02-06,-3.2
2021-02-10,0.6
2021-02-12,0.3
2021-02-13,1.8
2021-02-15,-0.3
2021-02-16,-1.3
2021-02-17,2.3
2021-02-18,-1.2
2021-02-24,-0.4
2021-02-28,-0.2
2021-03-02,-0.05
2021-03-03,0.0
2021-03-04,0.4
2021-03-05,0.125
2021-03-06,-3.7
2021-03-07,-0.3
2021-03-08,-1.7
2021-03-09,1.4
2021-03-10,1.5
2021-03-11,-0.05
2021-03-12,0.15
2021-03-15,2.1
2021-03-16,-1.8
2021-03-17,1.5
2021-03-18,1.47
2021-03-19,0.8
2021-03-21,-0.2
2021-03-22,0.0
2021-03-23,-0.575
2021-03-26,0.0
2021-03-27,2.25
2021-03-29,0.4
2021-03-30,0.25
2021-04-02,2.4
2021-04-03,0.28
2021-04-08,0.15
2021-04-09,0.5
2021-04-12,-0.6
2021-04-13,0.05
2021-04-14,1.0
2021-04-15,-0.2
2021-04-16,3.1
2021-04-19,1.43
2021-04-21,0.0
2021-04-22,1.27
2021-04-23,3.0
2021-04-24,1.0
2021-04-25,0.0
2021-04-27,-2.35
2021-04-28,0.73
2021-05-05,-0.1
2021-05-06,-0.4
2021-05-07,-0.2
2021-05-08,1.65
2021-05-09,0.33
2021-05-10,1.25
2021-05-12,-3.1
2021-05-13,-0.4
2021-05-14,0.45
2021-05-15,0.0666666666666666
2021-05-17,0.9
2021-05-18,0.97
2021-05-19,0.6
2021-05-21,0.7
2021-05-26,-0.6
2021-05-27,-0.6
2021-05-29,0.2
2021-05-31,1.6
2021-06-01,1.45
2021-06-02,0.33
2021-06-03,1.2
2021-06-04,-0.225
2021-06-06,0.6
2021-06-10,-0.6
2021-06-14,-0.5
2021-06-15,-0.4
2021-06-16,1.75
2021-06-17,-0.2
2021-06-18,0.17
2021-06-19,0.0
2021-06-21,0.16
2021-06-23,1.2
2021-06-24,1.05
2021-06-28,0.625
2021-06-29,0.25
2021-06-30,0.43
2021-07-01,-0.37
2021-07-02,-0.1
2021-07-06,-0.125
2021-07-07,-0.075
2021-07-08,-0.7
2021-07-10,-0.43
2021-07-12,-0.2
2021-07-14,0.85
2021-07-15,0.6
2021-07-16,0.55
2021-07-17,0.7
2021-07-18,0.15
2021-07-19,-1.9
2021-07-21,-0.6
2021-07-26,-0.15
2021-07-27,-0.6
2021-07-30,-0.5
2021-07-31,0.6
2021-08-01,-1.0
2021-08-02,-0.7
2021-08-06,2.25
2021-08-07,-0.15
2021-08-09,1.0
2021-08-11,-0.3
2021-08-12,-0.175
2021-08-24,-3.0
2021-08-25,1.17
2021-08-27,1.05
2021-08-28,1.05
2021-09-01,-0.37
2021-09-02,-0.55
2021-09-03,-0.98
2021-09-04,-0.4
2021-09-06,-0.45
2021-09-14,0.9
2021-09-15,0.0
2021-09-16,-0.2
2021-09-19,0.05
2021-09-21,0.5
2021-09-22,0.3
2021-09-23,1.5
2021-09-26,1.5
2021-09-27,-1.71
2021-10-01,0.16
2021-10-03,0.555
2021-10-05,0.0
2021-10-08,2.325
2021-10-11,-0.1
2021-10-12,0.55
2021-10-15,0.3
2021-10-16,1.5
2021-10-21,1.2
2021-10-24,0.0
2021-10-25,-0.3
2021-10-26,3.3
2021-10-29,-1.2
2021-10-30,-0.13
2021-11-01,1.2
2021-11-02,0.0
2021-11-03,2.1
2021-11-07,0.6
2021-11-15,1.5
2021-11-18,0.42
2021-11-19,0.87
2021-11-20,0.4
2021-11-21,2.25
2021-11-22,0.3
2021-11-23,-1.1
2021-11-25,0.0
2021-11-26,0.028
2021-11-30,-0.6
2021-12-02,1.5
2021-12-03,2.4
2021-12-04,0.25
2021-12-07,-0.275
2021-12-09,1.6
2021-12-13,2.4
2021-12-15,0.5
2021-12-16,-0.15
2021-12-18,-0.2
2021-12-20,2.4
2021-12-21,0.45
2021-12-22,-0.033
2021-12-23,0.43
2021-12-24,1.2
2021-12-28,-0.3
2021-12-29,-0.8
2021-12-30,0.73
2021-12-31,-0.6
2022-01-01,0.4
2022-01-03,2.2
2022-01-05,0.44
2022-01-06,-0.5
2022-01-07,0.2
2022-01-08,-0.083
2022-01-11,-0.6
2022-01-12,-1.05
2022-01-13,0.15
2022-01-14,0.6
2022-01-15,0.0
2022-01-17,2.1
2022-01-19,-0.25
2022-01-20,-0.4
2022-01-27,2.25
2022-02-04,-1.9
2022-02-05,-0.5
2022-02-08,2.25
2022-02-10,0.2
2022-02-11,1.05
2022-02-15,1.2
2022-02-16,-3.6
2022-02-19,-0.2
2022-02-22,-0.95
2022-02-26,-0.15
2022-03-01,0.85
2022-03-02,0.14
2022-03-03,0.1
2022-03-04,-0.35
2022-03-05,0.77
2022-03-06,0.0
2022-03-07,1.8
2022-03-08,0.275
2022-03-09,-0.45
2022-03-10,1.4625
2022-03-11,1.0
2022-03-12,-0.3
2022-03-13,-0.2
2022-03-14,1.5
2022-03-15,-0.8
2022-03-16,-0.64
2022-03-17,0.0
2022-03-18,-0.4
2022-03-21,2.4
2022-03-22,0.65
2022-03-23,0.0
2022-03-24,1.0
2022-03-29,0.1
2022-04-01,-0.27
2022-04-05,0.1857
2022-04-07,1.35
2022-04-12,1.2
2022-04-15,0.225
2022-04-16,1.3
2022-04-17,0.5
2022-04-19,0.6
2022-04-20,0.2
2022-04-21,-0.45
2022-04-26,-0.4
2022-04-27,-1.2
2022-04-28,-1.4
2022-04-29,1.025
2022-05-01,-0.83
2022-05-05,0.5
2022-05-08,-0.53
2022-05-09,-0.43
2022-05-10,-0.2
2022-05-12,-0.66
2022-05-13,0.6
2022-05-14,1.6
2022-05-19,0.47
2022-05-21,-0.9
2022-05-22,-0.6
2022-05-23,-2.25
2022-05-26,1.5
2022-05-31,0.3
2022-06-02,-0.52
2022-06-03,0.75
2022-06-06,-0.07
2022-06-07,2.25
2022-06-09,-0.9
2022-06-15,1.2
2022-06-16,-0.75
2022-06-17,0.4
2022-06-20,0.75
2022-06-21,0.0
2022-06-22,0.2
2022-06-23,0.16
2022-06-27,0.15
2022-06-28,0.3
2022-06-29,-0.25
2022-07-01,-1.5
2022-07-02,-0.4
2022-07-03,-0.3
2022-07-04,-0.83
2022-07-06,1.8
2022-07-11,-2.3
2022-07-12,0.16
2022-07-14,-0.07
2022-07-15,0.6
2022-07-16,0.6
2022-07-19,-0.2
2022-07-20,-3.8
2022-07-23,-0.6
2022-07-24,-0.2
2022-07-26,-0.05
2022-07-27,1.0
2022-07-28,1.359
2022-07-29,-2.1
2022-07-30,0.5
2022-07-31,1.0
2022-08-01,0.89
2022-08-02,0.7
2022-08-03,0.3
2022-08-04,0.0
2022-08-08,0.67
2022-08-10,0.6
2022-08-18,0.0
2022-08-19,1.75
2022-08-22,0.5
2022-08-23,-0.4
2022-08-24,-0.4
2022-08-26,0.2
2022-08-28,0.3
2022-08-30,0.4
2022-08-31,-0.2
2022-09-01,0.45
2022-09-02,0.0
2022-09-03,-0.35
2022-09-04,-0.27
2022-09-05,0.2
2022-09-06,0.33
2022-09-10,0.36
2022-09-13,1.15
2022-09-14,-0.3
2022-09-15,-0.65
2022-09-16,-0.5
2022-09-19,-2.53
2022-09-20,1.4
2022-09-21,-1.2
2022-09-26,0.83
2022-09-27,-1.2
2022-09-28,-0.1
2022-09-29,0.7
2022-09-30,-2.7
2022-10-01,0.375
2022-10-03,0.8
2022-10-04,-0.1
2022-10-05,-2.4
2022-10-06,0.6
2022-10-07,-1.5
2022-10-08,-0.6
2022-10-09,-0.15
2022-10-11,-0.175
2022-10-12,0.0
2022-10-13,0.15
2022-10-18,1.8
2022-10-21,-2.7
2022-10-24,0.15
2022-10-27,-0.4
2022-10-29,0.0
2022-10-30,-3.0
2022-10-31,2.4
2022-11-01,-0.3
2022-11-07,0.6
2022-11-08,-0.9
2022-11-09,-3.2
2022-11-10,0.6
2022-11-14,1.23
2022-11-15,0.9
2022-11-16,0.85
2022-11-23,-1.0
2022-11-27,0.1
2022-11-28,-0.3
2022-12-01,0.75
2022-12-05,-0.3
2022-12-06,-1.3
2022-12-08,1.2
2022-12-09,0.6
2022-12-10,1.6
2022-12-12,0.2
2022-12-13,1.2
2022-12-14,-0.25
2022-12-16,-0.45
2022-12-19,0.05
2022-12-21,-0.15
2022-12-22,3.6
2022-12-27,0.0666666666666666
2022-12-28,0.6
2022-12-29,-0.5
2022-12-30,0.7
2022-12-31,0.5
2023-01-01,0.8
2023-01-03,-0.07
2023-01-04,1.2
2023-01-05,0.3
2023-01-06,-0.675
2023-01-09,0.5
2023-01-10,1.5
2023-01-11,-0.73
2023-01-12,0.7
2023-01-13,0.05
2023-01-14,0.0
2023-01-16,1.8
2023-01-17,-0.2
2023-01-18,-0.2
2023-01-23,1.2
2023-01-27,1.5
2023-01-30,2.25
2023-01-31,3.15
2023-02-01,0.575
2023-02-02,0.7
2023-02-03,0.1
2023-02-05,0.33
2023-02-07,-0.3
2023-02-09,1.75
2023-02-10,0.6
2023-02-13,3.9
2023-02-14,0.6
2023-02-15,1.45
2023-02-20,1.4
2023-02-22,0.5
2023-02-23,1.27
2023-02-24,-0.2
2023-02-25,0.67
2023-02-28,0.25
2023-03-02,0.2
2023-03-03,-0.4
2023-03-06,0.6
2023-03-07,-0.5
2023-03-11,-2.2
2023-03-13,0.0
2023-03-14,-0.16
2023-03-15,1.2
2023-03-16,0.83
2023-03-17,0.0
2023-03-22,0.725
2023-03-23,-0.6
2023-03-24,0.2
2023-03-27,1.0
2023-03-28,0.55
2023-04-01,0.4
2023-04-02,1.6
2023-04-05,1.7
2023-04-07,0.4
2023-04-10,1.2
2023-04-12,-0.55
2023-04-15,0.0
2023-04-16,-1.0
2023-04-18,-0.33
2023-04-19,0.7
2023-04-20,-0.6
2023-04-21,0.57
2023-04-24,0.75
2023-04-25,0.2
2023-04-26,0.8
2023-04-27,-0.65
2023-04-28,0.8
2023-05-02,0.6
2023-05-03,0.35
2023-05-04,0.6
2023-05-11,1.0
2023-05-14,0.0
2023-05-15,0.25
2023-05-16,0.675
2023-05-20,-0.5
2023-05-21,0.9
2023-05-23,0.57
2023-05-25,0.0
2023-05-26,-0.4
2023-05-28,-0.45
2023-05-29,0.53
2023-05-30,1.0
2023-05-31,1.5
2023-06-01,0.0375
2023-06-02,-1.0
2023-06-03,0.0
2023-06-04,0.25
2023-06-05,0.42
2023-06-06,0.47
2023-06-07,1.5
2023-06-08,0.54
2023-06-09,0.9
2023-06-10,-0.4
2023-06-12,0.75
2023-06-13,0.7
2023-06-14,1.35
2023-06-15,0.2
2023-06-16,0.93
2023-06-17,-2.8
2023-06-19,0.65
2023-06-20,0.9
2023-06-24,1.0
2023-06-27,0.3
2023-06-28,-0.4
2023-06-29,0.9
2023-06-30,0.95
2023-07-04,0.2
2023-07-05,1.8
2023-07-06,1.3
2023-07-08,0.0
2023-07-10,1.24
2023-07-11,0.8
2023-07-12,0.1
2023-07-13,-0.3
2023-07-14,1.45
2023-07-15,0.3
2023-07-17,-0.7
2023-07-18,-0.3
2023-07-23,-3.65
2023-07-24,0.675
2023-07-26,0.95
2023-07-27,1.2
2023-07-30,0.1
2023-07-31,-0.05
2023-08-02,-1.3
2023-08-03,1.55
2023-08-04,-0.2
2023-08-05,0.0
2023-08-08,-0.1
2023-08-09,0.75
2023-08-10,1.3
2023-08-11,-0.033
2023-08-12,-0.35
2023-08-14,-1.3
2023-08-15,0.0
2023-08-16,1.45
2023-08-17,-0.9
2023-08-18,0.17
2023-08-21,0.3
2023-08-22,0.55
2023-08-23,-0.05
2023-08-26,-0.9
2023-08-28,0.4
2023-08-31,1.05
2023-09-01,0.325
2023-09-04,1.5
2023-09-05,0.63
2023-09-06,0.2
2023-09-07,-1.5
2023-09-08,0.1
2023-09-09,0.05
2023-09-11,1.2
2023-09-12,1.75
2023-09-14,-0.3
2023-09-15,0.5
2023-09-16,-0.21
2023-09-17,0.0
2023-09-18,-0.1333
2023-09-20,-1.2
2023-09-21,0.45
2023-09-22,-0.1
2023-09-23,0.22
2023-09-24,0.75
2023-09-25,0.9
2023-09-26,-0.2
2023-09-27,-0.75
2023-09-28,-0.35
2023-09-29,0.17
2023-09-30,0.2
2023-10-01,0.43
2023-10-02,0.43
2023-10-03,-0.07
2023-10-04,0.4
2023-10-05,-0.4
2023-10-06,0.55
2023-10-10,1.6
2023-10-12,0.47
2023-10-13,0.0
2023-10-15,1.0
2023-10-16,0.63
2023-10-17,0.45
2023-10-19,0.4
2023-10-20,0.9
2023-10-22,-0.6
2023-10-23,0.0
2023-10-24,0.0
2023-10-26,0.37
2023-10-27,1.8
2023-10-28,0.5
2023-10-30,0.3
2023-11-02,0.175
2023-11-03,3.0
2023-11-04,-0.7
2023-11-07,0.033
2023-11-08,-0.2
2023-11-09,0.575
2023-11-10,1.0
2023-11-11,0.3
2023-11-13,0.6
2023-11-14,1.1
2023-11-16,-0.3
2023-11-18,0.9
2023-11-21,1.05
2023-11-23,0.6
2023-11-26,-1.0
2023-11-27,1.0
2023-11-29,0.3
2023-12-01,-2.0
2023-12-02,-0.13
2023-12-03,1.9
2023-12-04,-0.6
2023-12-05,-0.4
2023-12-06,2.25
2023-12-07,1.7
2023-12-08,-0.43
2023-12-12,-1.6
2023-12-13,0.65
2023-12-14,1.04
2023-12-15,0.25
2023-12-16,-0.33
2023-12-18,1.0
2023-12-19,0.4
2023-12-21,-0.8
2023-12-24,0.375
2023-12-27,0.8
2023-12-29,3.0
