date,analysis
2021-01-01,0.33
2021-01-02,2.4
2021-01-03,0.5
2021-01-04,1.29
2021-01-05,0.04
2021-01-06,-0.25
2021-01-07,0.155
2021-01-08,0.5375
2021-01-09,-0.225
2021-01-10,-0.17
2021-01-11,-0.2
2021-01-12,0.42
2021-01-13,-0.17
2021-01-14,0.35
2021-01-15,0.53
2021-01-16,-3.3
2021-01-17,-0.85
2021-01-18,-0.5
2021-01-19,0.1
2021-01-20,0.14
2021-01-21,0.46
2021-01-22,-0.275
2021-01-23,-0.15
2021-01-24,-0.7
2021-01-25,-0.15
2021-01-26,-1.0
2021-01-27,0.157
2021-01-28,-0.083
2021-01-29,-0.21
2021-01-30,0.66
2021-01-31,-0.525
2021-02-01,0.12
2021-02-02,-0.39
2021-02-03,0.6625
2021-02-04,-0.26
2021-02-05,0.3875
2021-02-06,0.6
2021-02-07,1.2
2021-02-08,-0.1
2021-02-09,0.0
2021-02-10,0.2
2021-02-11,1.2
2021-02-12,0.4
2021-02-13,2.3
2021-02-14,-0.1
2021-02-15,1.4
2021-02-16,1.35
2021-02-17,0.957
2021-02-18,0.2
2021-02-19,0.2
2021-02-20,0.4
2021-02-22,1.0
2021-02-23,-0.2
2021-02-24,-1.28
2021-02-25,0.27
2021-02-26,-0.41
2021-02-27,0.1
2021-02-28,1.6
2021-03-01,1.5
2021-03-02,0.2
2021-03-03,-0.4
2021-03-04,-0.43
2021-03-05,0.014
2021-03-06,-0.05
2021-03-07,-0.9
2021-03-08,-0.4
2021-03-09,-1.17
2021-03-10,0.2
2021-03-11,0.35
2021-03-12,0.975
2021-03-13,-1.0
2021-03-14,-1.0
2021-03-15,0.22
2021-03-16,0.73
2021-03-17,1.67
2021-03-18,0.975
2021-03-19,0.1
2021-03-20,1.0
2021-03-21,0.2
2021-03-22,0.63
2021-03-23,-0.2
2021-03-24,0.05
2021-03-25,-0.3
2021-03-26,0.44
2021-03-28,1.65
2021-03-29,1.03
2021-03-30,-0.06
2021-03-31,0.31
2021-04-01,0.56
2021-04-02,-1.05
2021-04-03,-1.3
2021-04-04,0.0
2021-04-05,0.2
2021-04-06,1.82
2021-04-07,-0.07
2021-04-08,1.24
2021-04-09,0.075
2021-04-10,2.1
2021-04-11,1.0
2021-04-12,0.47
2021-04-13,-1.42
2021-04-14,0.66
2021-04-15,0.34
2021-04-16,0.257
2021-04-17,0.23
2021-04-18,0.3
2021-04-19,2.25
2021-04-20,0.2
2021-04-21,0.357
2021-04-22,-0.083
2021-04-23,-0.86
2021-04-25,0.4375
2021-04-26,0.11
2021-04-27,0.19
2021-04-28,0.37
2021-04-29,0.83
2021-04-30,0.2
2021-05-01,-1.2
2021-05-02,-0.75
2021-05-03,-0.32
2021-05-04,-1.01
2021-05-05,-0.15
2021-05-06,0.14
2021-05-07,0.79
2021-05-08,-0.05
2021-05-09,0.425
2021-05-10,0.62
2021-05-11,-1.08
2021-05-12,-3.1
2021-05-13,-1.09
2021-05-14,0.019
2021-05-15,-0.088
2021-05-16,-0.16
2021-05-17,-0.696
2021-05-18,0.18
2021-05-19,0.13
2021-05-20,-0.43
2021-05-21,0.42
2021-05-22,-0.33
2021-05-23,0.01
2021-05-24,-0.06
2021-05-25,-0.1
2021-05-26,-0.5
2021-05-27,-0.17
2021-05-28,0.44
2021-05-29,0.62
2021-05-30,0.9
2021-05-31,0.54
2021-06-01,0.3
2021-06-02,0.5
2021-06-03,0.34
2021-06-04,0.075
2021-06-05,0.725
2021-06-06,0.408
2021-06-07,-0.2375
2021-06-08,-0.6
2021-06-09,-0.1
2021-06-10,-0.014
2021-06-11,0.2625
2021-06-12,1.2
2021-06-13,0.1
2021-06-14,-0.4
2021-06-15,2.14
2021-06-16,0.13
2021-06-17,0.4
2021-06-18,0.17
2021-06-19,0.683
2021-06-20,0.1875
2021-06-21,0.236
2021-06-22,-0.022
2021-06-23,-0.39
2021-06-24,0.52
2021-06-25,-0.1375
2021-06-27,0.5
2021-06-28,0.53
2021-06-29,-0.5625
2021-06-30,-0.2
2021-07-01,0.44
2021-07-02,-0.41
2021-07-03,2.4
2021-07-04,1.5
2021-07-05,0.53
2021-07-06,-0.1
2021-07-07,-0.27
2021-07-08,-0.4
2021-07-09,-0.03
2021-07-10,0.65
2021-07-11,-0.9
2021-07-12,-0.3
2021-07-13,-1.3
2021-07-14,-0.82
2021-07-15,-0.45
2021-07-16,0.033
2021-07-17,-0.33
2021-07-18,1.5
2021-07-19,0.13
2021-07-20,-0.6875
2021-07-21,-0.92
2021-07-22,-0.583
2021-07-23,0.2
2021-07-24,-0.43
2021-07-25,-2.2
2021-07-26,-0.055
2021-07-27,-0.57
2021-07-28,-0.106
2021-07-29,0.44
2021-07-30,0.12
2021-07-31,-0.73
2021-08-01,0.2
2021-08-02,-0.18
2021-08-03,-0.3
2021-08-04,0.0
2021-08-05,0.03
2021-08-06,-0.34
2021-08-07,-0.595
2021-08-08,-0.65
2021-08-09,-0.86
2021-08-10,-0.98
2021-08-11,-0.13
2021-08-12,-0.22
2021-08-13,-1.33
2021-08-14,-1.7625
2021-08-15,-0.68
2021-08-16,-0.97
2021-08-17,-1.78
2021-08-18,0.093
2021-08-19,-0.316
2021-08-20,-0.88
2021-08-21,-0.4
2021-08-22,0.7
2021-08-23,0.2
2021-08-24,0.275
2021-08-25,0.2625
2021-08-26,0.63
