date,analysis
2021-01-08,-1.0
2021-01-11,0.0
2021-01-20,1.0
2021-01-27,1.0
2021-01-28,-1.0
2021-02-02,0.0
2021-02-05,-1.0
2021-02-09,1.0
2021-02-18,-1.0
2021-02-22,0.0
2021-02-23,0.0
2021-03-06,0.0
2021-03-11,0.0
2021-03-16,1.0
2021-03-29,0.0
2021-03-30,0.0
2021-04-05,0.0
2021-04-14,-1.0
2021-04-15,-1.0
2021-04-19,0.0
2021-04-26,1.0
2021-04-30,0.0
2021-05-11,1.0
2021-05-12,0.0
2021-05-31,0.0
2021-06-01,-0.0
2021-06-08,0.0
2021-06-10,1.0
2021-06-28,1.0
2021-07-12,1.0
2021-07-22,1.0
2021-07-29,1.0
2021-08-02,1.0
2021-08-05,0.0
2021-08-13,0.0
2021-08-25,0.0
2021-08-26,1.0
2021-08-30,0.0
2021-09-01,0.0
2021-09-06,0.0
2021-09-10,1.0
2021-09-16,1.0
2021-09-17,0.0
2021-09-18,-0.0
2021-09-19,0.0
2021-09-29,-1.0
2021-10-14,-1.0
2021-10-19,-1.0
2021-10-28,-1.0
2021-11-01,0.0
2021-11-19,0.0
2021-11-22,-1.0
2021-12-02,0.0
2021-12-08,0.0
2021-12-10,0.0
2022-01-05,0.0
2022-01-14,-1.0
2022-01-27,1.0
2022-02-14,1.0
2022-02-17,0.0
2022-02-18,1.0
2022-02-21,0.0
2022-02-23,0.0
2022-02-24,-1.0
2022-02-26,1.0
2022-02-28,-1.0
2022-03-01,0.0
2022-03-04,1.0
2022-03-18,1.0
2022-03-23,-1.0
2022-03-28,1.0
2022-04-11,1.0
2022-04-15,0.0
2022-04-20,0.0
2022-04-21,1.0
2022-04-26,1.0
2022-04-27,0.0
2022-04-28,-1.0
2022-05-04,0.0
2022-05-06,0.0
2022-05-08,-1.0
2022-05-27,-1.0
2022-05-31,1.0
2022-06-10,0.0
2022-06-20,0.0
2022-06-24,0.0
2022-06-30,-1.0
2022-07-01,1.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-23,0.0
2022-07-29,0.0
2022-08-05,0.0
2022-08-09,-1.0
2022-09-15,-1.0
2022-09-23,0.0
2022-09-24,-1.0
2022-09-25,-1.0
2022-09-28,0.0
2022-09-29,0.0
2022-10-08,-1.0
2022-10-09,-1.0
2022-10-11,-1.0
2022-10-20,0.0
2022-11-04,0.0
2022-11-10,0.0
2022-11-22,-1.0
2022-11-25,1.0
2023-01-10,0.0
2023-02-09,-1.0
2023-02-24,0.0
2023-03-21,1.0
2023-04-11,1.0
2023-04-17,0.0
2023-04-28,0.0
2023-05-26,0.0
2023-05-31,0.0
2023-07-03,-1.0
2023-07-04,-1.0
2023-07-14,1.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-21,0.0
2023-07-27,0.0
2023-07-28,0.0
2023-08-06,0.0
2023-08-10,0.0
2023-08-18,0.0
2023-08-19,0.0
2023-09-11,0.0
2023-09-13,-1.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-20,-1.0
2023-10-05,0.0
2023-10-06,1.0
2023-10-11,-0.0
2023-10-13,-1.0
2023-11-08,-1.0
